127.0.0.1 - - [18/Jan/2024:08:19:23 +0700] "GET / HTTP/1.1" 404 751
10.59.90.179 - - [18/Jan/2024:08:21:38 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 5321
10.59.90.179 - - [18/Jan/2024:09:17:28 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 233
10.59.90.179 - - [18/Jan/2024:09:17:28 +0700] "GET /favicon.ico HTTP/1.1" 404 762
10.59.90.179 - - [18/Jan/2024:09:17:30 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
10.59.90.179 - - [18/Jan/2024:09:17:30 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 5321
10.59.90.179 - - [18/Jan/2024:09:17:49 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 231
10.59.90.179 - - [18/Jan/2024:11:10:17 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 244
10.59.90.179 - - [18/Jan/2024:11:10:18 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
10.59.90.179 - - [18/Jan/2024:11:10:18 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 5321
10.59.90.179 - - [18/Jan/2024:11:10:28 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 244
10.59.90.179 - - [18/Jan/2024:11:10:29 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
10.59.90.179 - - [18/Jan/2024:11:10:29 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 5321
10.59.90.179 - - [18/Jan/2024:11:11:05 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 242
10.59.90.179 - - [18/Jan/2024:11:11:06 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
10.59.90.179 - - [18/Jan/2024:11:11:06 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 5321
10.59.90.179 - - [18/Jan/2024:11:12:15 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 244
10.59.90.179 - - [18/Jan/2024:11:12:16 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
10.59.90.179 - - [18/Jan/2024:11:12:16 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 5321
10.59.90.179 - - [18/Jan/2024:11:14:57 +0700] "GET /FileUploadVul/tmp/shell1.jsp?cmd=whoami HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [18/Jan/2024:13:13:10 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 5321
0:0:0:0:0:0:0:1 - - [18/Jan/2024:13:14:06 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [18/Jan/2024:13:14:06 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [18/Jan/2024:13:14:08 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2024:13:14:08 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 5321
10.59.90.179 - - [18/Jan/2024:13:44:33 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 302 -
10.59.90.179 - - [18/Jan/2024:13:44:33 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
10.59.90.179 - - [18/Jan/2024:13:44:33 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 5321
10.59.90.179 - - [18/Jan/2024:13:45:05 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 302 -
10.59.90.179 - - [18/Jan/2024:13:45:05 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
10.59.90.179 - - [18/Jan/2024:13:45:05 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 5321
10.59.90.179 - - [18/Jan/2024:13:46:17 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 242
10.59.90.179 - - [18/Jan/2024:13:46:19 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
10.59.90.179 - - [18/Jan/2024:13:46:19 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 5321
10.59.90.179 - - [18/Jan/2024:14:04:06 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 244
10.59.90.179 - - [18/Jan/2024:14:04:07 +0700] "GET /FileUploadVul HTTP/1.1" 302 -
10.59.90.179 - - [18/Jan/2024:14:04:07 +0700] "GET /FileUploadVul/ HTTP/1.1" 200 5321
10.59.90.179 - - [18/Jan/2024:16:57:42 +0700] "POST /FileUploadVul/fileuploadservlet HTTP/1.1" 200 244
